nct_id,condition_preferred,mesh_broad,mesh_broad_label
NCT00792636,Migraine Disorders,C10.228.140.546.399.750,Migraine Disorders
NCT00810693,"Hypertension, Pulmonary",C08.381.423,"Hypertension, Pulmonary"
NCT00819741,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00843154,Heart Failure,C14.280.434,Heart Failure
NCT00843492,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00846365,Hypertension,C14.907.489,Hypertension
NCT00848354,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00853658,Heart Failure,C14.280.434,Heart Failure
NCT00877929,Hypertension,C14.907.489,Hypertension
NCT01005901,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01046110,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01047501,Hyperlipidemias,C18.452.584.500.500,Hyperlipidemias
NCT01089725,Osteoarthritis,C05.550.114,Arthritis
NCT01106677,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01110200,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01128894,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01156571,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01156571,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT01176968,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT01177813,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01208181,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01225562,Stroke,C14.907.253.855,Stroke
NCT01225562,Thrombosis,C14.907.355,Embolism and Thrombosis
NCT01225562,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT01324362,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01329029,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01331837,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01335464,Idiopathic Interstitial Pneumonias,C08.381.483.487,Idiopathic Interstitial Pneumonias
NCT01366209,Idiopathic Interstitial Pneumonias,C08.381.483.487,Idiopathic Interstitial Pneumonias
NCT01392677,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01443845,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01460342,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT01474512,Psoriasis,C17.800.859.675,Psoriasis
NCT01522521,Osteoporosis,C05.116.198.579,Osteoporosis
NCT01528254,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01532648,"Colitis, Ulcerative",C06.405.469.432,Inflammatory Bowel Diseases
NCT01584232,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01597245,Psoriasis,C17.800.859.675,Psoriasis
NCT01615198,Hypertension,C14.907.489,Hypertension
NCT01617434,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01646177,Psoriasis,C17.800.859.675,Psoriasis
NCT01661322,Stroke,C14.907.253.855,Stroke
NCT01682863,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01721057,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01727141,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01908140,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01930682,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT02064868,Heart Failure,C14.280.434,Heart Failure
NCT02065791,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02079727,Osteoarthritis,C05.550.114,Arthritis
NCT02175355,Hypertension,C14.907.489,Hypertension
NCT02229383,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT02296138,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02345161,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02477969,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02681094,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02906917,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00038077,Heart Failure,C14.280.434,Heart Failure
NCT00086502,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00092755,Osteoarthritis,C05.550.114,Arthritis
NCT00092781,Osteoarthritis,C05.550.114,Arthritis
NCT00099242,Alzheimer Disease,C10.228.140.380,Dementia
NCT00109382,Stroke,C14.907.253.855,Stroke
NCT00109382,"Ischemic Attack, Transient",C14.907.253.092,Brain Ischemia
NCT00120289,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00120289,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT00128024,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00131664,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00131846,Hypertension,C14.907.489,Hypertension
NCT00141453,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00145925,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00146341,Hypertension,C14.907.489,Hypertension
NCT00160602,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00161070,"Ischemic Attack, Transient",C14.907.253.092,Brain Ischemia
NCT00169819,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00197080,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00219102,Hypertension,C14.907.489,Hypertension
NCT00219128,Hypertension,C14.907.489,Hypertension
NCT00235014,Hypertension,C14.907.489,Hypertension
NCT00236431,Alzheimer Disease,C10.228.140.380,Dementia
NCT00239538,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00239538,Hypertension,C14.907.489,Hypertension
NCT00262054,Angina Pectoris,C14.280.647Y,"Myocardial Ischemia, chronic"
NCT00272012,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00272701,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00274547,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00274560,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00333489,Hypertension,C14.907.489,Hypertension
NCT00348712,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00359112,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00363857,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00370565,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00381485,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00388882,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00393471,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00402233,Parkinson Disease,C10.574.812,Parkinson Disease
NCT00409643,Hypertension,C14.907.489,Hypertension
NCT00409851,Hypertension,C14.907.489,Hypertension
NCT00420927,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00424333,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT00452348,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00457002,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00457002,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00473655,Hyperlipidemias,C18.452.584.500.500,Hyperlipidemias
NCT00479713,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00490958,Heart Failure,C14.280.434,Heart Failure
NCT00494312,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00494871,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00536731,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00548808,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00591578,Hypertension,C14.907.489,Hypertension
NCT00651118,Rhinitis,C08.460.799,Rhinitis
NCT00658775,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00696631,Heart Failure,C14.280.434,Heart Failure
NCT00710580,Psoriasis,C17.800.859.675,Psoriasis
NCT00733902,Osteoarthritis,C05.550.114,Arthritis
NCT00734474,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00790907,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT00822211,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00822536,Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00822536,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00830063,Osteoarthritis,C05.550.114,Arthritis
NCT00849056,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00861926,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00862394,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00872586,Hypertension,C14.907.489,Hypertension
NCT00894868,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00894868,Heart Failure,C14.280.434,Heart Failure
NCT00953147,Rhinitis,C08.460.799,Rhinitis
NCT00956644,Hypertension,C14.907.489,Hypertension
NCT00963599,Rhinitis,C08.460.799,Rhinitis
NCT00984659,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00986154,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00986154,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00986154,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT01006603,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01063920,Osteoarthritis,C05.550.114,Arthritis
NCT01107886,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01139762,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT01147250,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01172808,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01182441,Stroke,C14.907.253.855,Stroke
NCT01182441,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT01186146,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT01188928,Psoriasis,C17.800.859.675,Psoriasis
NCT01205932,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT01214239,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01215097,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01336023,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01371058,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT01437540,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01438814,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01451203,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01471340,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01508026,Hypertension,C14.907.489,Hypertension
NCT01590797,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01602003,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01691521,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01782326,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01787188,Osteoarthritis,C05.550.114,Arthritis
NCT01808118,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT01879410,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01928628,Hypertension,C14.907.489,Hypertension
NCT02006732,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02007720,Heart Failure,C14.280.434,Heart Failure
NCT02058368,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT02141854,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02149199,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02164513,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02172586,Hypertension,C14.907.489,Hypertension
NCT02173782,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02276222,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT02414958,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT02483169,Brain Ischemia,C14.907.253.092,Brain Ischemia
NCT02489968,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02528201,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT02706847,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT02706951,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT02761252,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02808767,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00000539,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00046228,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00060918,Hypertension,C14.907.489,Hypertension
NCT00071331,Heart Failure,C14.280.434,Heart Failure
NCT00080275,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00082407,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00090168,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00092989,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00094770,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00110474,Osteoarthritis,C05.550.114,Arthritis
NCT00121446,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00141960,Gastroesophageal Reflux,C06.405.117,Esophageal Diseases
NCT00152984,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00152984,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00163202,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00168857,Diabetic Nephropathies,C19.246.099.875,Diabetic Nephropathies
NCT00168857,Hypertension,C14.907.489,Hypertension
NCT00182403,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00182403,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00182403,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00208299,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT00234871,Hypertension,C14.907.489,Hypertension
NCT00251134,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00251693,Esophagitis,C06.405.117,Esophageal Diseases
NCT00259376,Atrial Flutter,C14.280.067,"Arrhythmias, Cardiac"
NCT00259376,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00262236,Hypertension,C14.907.489,Hypertension
NCT00266227,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00287729,Idiopathic Interstitial Pneumonias,C08.381.483.487,Idiopathic Interstitial Pneumonias
NCT00296530,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00301392,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00316095,Hypertension,C14.907.489,Hypertension
NCT00329459,Migraine Disorders,C10.228.140.546.399.750,Migraine Disorders
NCT00356096,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00359762,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00363896,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00365352,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00375284,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00384085,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00391443,Idiopathic Interstitial Pneumonias,C08.381.483.487,Idiopathic Interstitial Pneumonias
NCT00399724,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00410410,"Colitis, Ulcerative",C06.405.469.432,Inflammatory Bowel Diseases
NCT00414973,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00418548,"Spondylitis, Ankylosing",C05.550.114,Arthritis
NCT00430677,"Lupus Erythematosus, Systemic",C20.111.590,"Lupus Erythematosus, Systemic"
NCT00432796,Stroke,C14.907.253.855,Stroke
NCT00435448,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00467376,Diabetes Mellitus,C18.452.394.750,Diabetes Mellitus
NCT00469092,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00479401,Parkinson Disease,C10.574.812,Parkinson Disease
NCT00496470,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00568984,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00623623,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00637949,Osteoarthritis,C05.550.114,Arthritis
NCT00647270,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00649389,Hypertension,C14.907.489,Hypertension
NCT00650455,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00702325,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00717457,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00736879,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00739596,Hypertension,C14.907.489,Hypertension
NCT00740883,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00751114,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00809926,Hypertension,C14.907.489,Hypertension
NCT00814268,Stroke,C14.907.253.855,Stroke
NCT00814307,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00827242,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00839800,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00861757,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00864097,Osteoarthritis,C05.550.114,Arthritis
NCT00879970,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00883168,Rhinitis,C08.460.799,Rhinitis
NCT00925600,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00936897,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00949884,Hypertension,C14.907.489,Hypertension
NCT00957554,Hypertension,C14.907.489,Hypertension
NCT00986050,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT01010971,Rhinitis,C08.460.799,Rhinitis
NCT01033825,Rhinitis,C08.460.799,Rhinitis
NCT01059812,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01064687,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01069003,Coronary Artery Disease,C14.280.647Y,Myocardial Ischemia
NCT01074268,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT01089127,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01164501,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01167010,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01218009,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01302691,Hypertension,C14.907.489,Hypertension
NCT01313637,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01347580,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT01392573,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01461369,Osteoarthritis,C05.550.114,Arthritis
NCT01467323,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01467323,"Diabetes Mellitus, Type 1",C18.452.394.750.124,"Diabetes Mellitus, Type 1"
NCT01494987,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01498679,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT01498822,Epilepsy,C10.228.140.490,Epilepsy
NCT01521923,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT01555138,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01623596,Multiple Sclerosis,C10.314.350.500,Multiple Sclerosis
NCT01644188,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT01696058,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01722331,Psoriasis,C17.800.859.675,Psoriasis
NCT01729559,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT01729559,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT01734785,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01758380,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01772134,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01809327,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT01860976,Psoriasis,C17.800.859.675,Psoriasis
NCT01957163,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT01959451,Acute Coronary Syndrome,C14.280.647X,"Myocardial Ischemia, acute"
NCT01970475,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT02031640,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02128932,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02139644,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT02183064,Osteoarthritis,C05.550.114,Arthritis
NCT02203032,Psoriasis,C17.800.859.675,Psoriasis
NCT02207231,Psoriasis,C17.800.859.675,Psoriasis
NCT02207374,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02242318,Hypertension,C14.907.489,Hypertension
NCT02305381,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT02550288,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT02666664,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT02684370,Psoriasis,C17.800.859.675,Psoriasis
NCT02749994,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT02916602,Hypertension,C14.907.489,Hypertension
NCT02967224,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00007670,Seizures,C10.228.140.490,Epilepsy
NCT00060931,Hypertension,C14.907.489,Hypertension
NCT00073827,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00077753,Venous Thromboembolism,C14.907.355,Embolism and Thrombosis
NCT00081731,Hypertension,C14.907.489,Hypertension
NCT00081731,Atherosclerosis,C14.907.137.126.307,Atherosclerosis
NCT00087516,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00091949,Myocardial Infarction,C14.280.647X,"Myocardial Ischemia, acute"
NCT00091949,Stroke,C14.907.253.855,Stroke
NCT00092027,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00092885,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00092885,Rhinitis,C08.460.799,Rhinitis
NCT00094458,Crohn Disease,C06.405.469.432,Inflammatory Bowel Diseases
NCT00099944,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00106366,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00111449,Psoriasis,C17.800.859.675,Psoriasis
NCT00122382,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00136045,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00148408,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00153088,Diabetic Nephropathies,C19.246.099.875,Diabetic Nephropathies
NCT00163475,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00174915,Gout,C05.550.114,Arthritis
NCT00187408,Pulmonary Embolism,C14.907.355,Embolism and Thrombosis
NCT00187408,Venous Thrombosis,C14.907.355,Embolism and Thrombosis
NCT00191425,Osteoporosis,C05.116.198.579,Osteoporosis
NCT00216593,Alzheimer Disease,C10.228.140.380,Dementia
NCT00224120,Prostatic Hyperplasia,C12.294.565.500,Prostatic Hyperplasia
NCT00230698,Seizures,C10.228.140.490,Epilepsy
NCT00232596,Seizures,C10.228.140.490,Epilepsy
NCT00242775,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00243178,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00244426,Atrial Fibrillation,C14.280.067,"Arrhythmias, Cardiac"
NCT00249249,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00252785,Asthma,C08.381.495,"Lung Diseases, Obstructive"
NCT00259610,"Arthritis, Rheumatoid",C05.550.114,Arthritis
NCT00270374,Heart Failure,C14.280.434,Heart Failure
NCT00274079,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00325403,"Hypertension, Pulmonary",C08.381.423,"Hypertension, Pulmonary"
NCT00329602,Restless Legs Syndrome,C10.803,Restless Legs Syndrome
NCT00335699,Hypercholesterolemia,C18.452.584.500.500,Hyperlipidemias
NCT00377637,Lupus Nephritis,C20.111.590,"Lupus Erythematosus, Systemic"
NCT00383435,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00383578,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00386100,"Diabetes Mellitus, Type 2",C18.452.394.750.149,"Diabetes Mellitus, Type 2"
NCT00387517,Hypertension,C14.907.489,Hypertension
NCT00400153,"Pulmonary Disease, Chronic Obstructive",C08.381.495,"Lung Diseases, Obstructive"
NCT00401596,Asthma,C08.381.495,"Lung Diseases, Obstructive"
