trm_lvl_id,pmid,page,original_strings_caught_from_tt,mesh_term,mesh_code,atc_code,risk_score,tid,global,global_n,global_pcdsfartl,mesh_term_f,txt_id
3973,26139005,2,das28 (esr),"Arthritis, Rheumatoid",D001172,NA,0,825,severity,11,000100000,"Arthritis, Rheumatoid",NA
3974,26139005,2,haq-di,Quality of Life,D011788,NA,0,825,any,2,000000000,Quality of Life,NA
3975,26139005,2,mmp-3 (ng/ml),Matrix Metalloproteinases,D020782,NA,0,825,any,2,000000000,Matrix Metalloproteinases,NA
3976,26139005,2,mtss,"Arthritis, Rheumatoid",D001172,NA,0,825,severity,11,000100000,"Arthritis, Rheumatoid",NA
3977,26139005,2,rf (iu/ml),Rheumatoid Factor,D012217,NA,0,825,any,2,000000000,Rheumatoid Factor,NA
3978,26151264,2,accp score,Vitamin K Deficiency Bleeding,D006475,NA,1,23,severity,11,000100000,Vitamin K Deficiency Bleeding,NA
3979,26151264,2,age,Age Factors,D000367,NA,0,23,any,2,000000000,Age Factors,NA
3980,26151264,2,bmi,Body Mass Index,D015992,NA,0,23,any,2,000000000,Body Mass Index,NA
3981,26151264,2,bmi;<30 kg/m 2,Body Mass Index,D015992,NA,0,23,any,2,000000000,Body Mass Index,NA
3982,26151264,2,compression stockings and perfusion defect at inclusion,unclassifible,NA,NA,0,23,duration,5,001000000,unclassifible,NA
3983,26151264,2,d-dimer levelsatinclusion,Fibrin Fibrinogen Degradation Products,D005338,NA,0,23,risk score,10,000000100,Fibrin Fibrinogen Degradation Products,NA
3984,26151264,2,pe associated with dvt at diagnosis,Venous Thromboembolism,D054556,NA,0,23,type,12,000000010,Venous Thromboembolism,NA
3985,26151264,2,previous cancer,Neoplasms,D009369,NA,0,23,previous,8,100000000,Neoplasms,NA
3986,26151264,2,right ventriculardysfunction atinclusion,"Ventricular Dysfunction, Right",D018497,NA,0,23,any,2,000000000,"Ventricular Dysfunction, Right",NA
3987,26151264,2,sex,Gender Identity,D005783,NA,0,23,any,2,000000000,Gender Identity,NA
3988,26151264,2,thrombophilia,Thrombophilia,D019851,NA,0,23,any,2,000000000,Thrombophilia,NA
3989,26151264,2,time in therapeutic range before inclusion,International Normalized Ratio,D019934,NA,0,23,previous,8,100000000,International Normalized Ratio,NA
3990,26179619,2,;baseline hba1c <8.0%,Glycated Hemoglobin A,D006442,NA,0,1210,any,2,000000000,Glycated Hemoglobin A,NA
3991,26179619,2,;baseline hba1c >8.0%,Glycated Hemoglobin A,D006442,NA,0,1210,any,2,000000000,Glycated Hemoglobin A,NA
3992,26228097,NA,Type of reflux disease,Gastrointestinal Diseases,D005767,NA,0,0,type,12,000000010,Gastrointestinal Diseases,NA
3993,26233481,2,gold group,"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,1043,severity,11,000100000,"Pulmonary Disease, Chronic Obstructive",NA
3994,26233481,3,GOLD COPD Severity Score,"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,1615,severity,11,000100000,"Pulmonary Disease, Chronic Obstructive",NA
3995,26233481,4,;with concomitant ics,Adrenergic beta-2 Receptor Agonists,D058666,NA,0,1556,any,2,000000000,Adrenergic beta-2 Receptor Agonists,NA
3996,26233481,4,;without concomitant ics,Adrenergic beta-2 Receptor Agonists,D058666,NA,0,1556,any,2,000000000,Adrenergic beta-2 Receptor Agonists,NA
3997,26238672,1,mtx >10 and si 5 mg/week,Immunosuppressive Agents,D007166,NA,0,1488,any,2,000000000,Immunosuppressive Agents,NA
3998,26238672,1,mtx >15 mg/week,Immunosuppressive Agents,D007166,NA,0,1488,any,2,000000000,Immunosuppressive Agents,NA
3999,26238672,1,mtx sio mg/week,Immunosuppressive Agents,D007166,NA,0,1488,any,2,000000000,Immunosuppressive Agents,NA
4000,26246458,NA,NA,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,125
4001,26254019,NA,ACEi use,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,0,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
4002,26254019,NA,Beta blocker use,Adrenergic beta-Antagonists,D000319,NA,0,0,any,2,000000000,Adrenergic beta-Antagonists,NA
4003,26254019,NA,Congestive heart failure,Heart Failure,D006333,NA,0,0,any,2,000000000,Heart Failure,NA
4004,26254019,NA,multiple-vessel disease and single vessel disease,Coronary Artery Disease,D003324,NA,0,0,type,2,000000000,Coronary Artery Disease,NA
4005,26254019,NA,Nitrate use,Soluble Guanylyl Cyclase,D000071756,NA,0,0,any,2,000000000,Soluble Guanylyl Cyclase,NA
4006,26254019,NA,Obesity,Obesity,D009765,NA,0,0,any,2,000000000,Obesity,NA
4007,26254019,NA,Sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
4008,26254019,NA,Sirolimus eluting stent,Drug-Eluting Stents,D054855,NA,0,0,any,2,000000000,Drug-Eluting Stents,NA
4009,26271059,2,;aspirin 4 clopidogrel,Fibrinolytic Agents,D005343,NA,0,487,any,2,000000000,Fibrinolytic Agents,NA
4010,26271059,2,;aspirin only,Aspirin,D001241,NA,0,487,any,2,000000000,Aspirin,NA
4011,26275429,2,;bdmard-ir,Antirheumatic Agents,D018501,NA,0,812,disease response,4,000000000,Antirheumatic Agents,NA
4012,26275429,2,;bdmard-naive,Antirheumatic Agents,D018501,NA,0,812,previous,8,100000000,Antirheumatic Agents,NA
4013,26299520,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,41
4014,26299520,NA,antihypertensive,Antihypertensive Agents,D000959,NA,0,0,any,2,000000000,Antihypertensive Agents,41
4015,26299520,NA,arterial hypertension,Hypertension,D006973,NA,0,0,any,2,000000000,Hypertension,41
4016,26299520,NA,cardiac arrhythmia (defined from medical history and baseline adverse events);,Anti-Arrhythmia Agents,D000889,NA,0,0,previous,8,100000000,Anti-Arrhythmia Agents,41
4017,26299520,NA,"cardiac disorder (included ischaemic heart disease, cardiac arrhythmia, cardiac failure, cardiomyopathy or other cardiac disorders)",Cardiovascular Diseases,D002318,NA,0,0,any,2,000000000,Cardiovascular Diseases,41
4018,26299520,NA,"cardiovascular disorder (included ischaemic heart disease,
cardiac arrhythmia, cardiac failure, cardiomyopathy
or other cardiac disorders)",Cardiovascular Diseases,D002318,NA,0,0,any,2,000000000,Cardiovascular Diseases,41
4019,26299520,NA,"combined cardiac failure, cardiomyopathy or
other cardiac disorders",complex,none,NA,0,0,any,2,000000000,complex,41
4020,26299520,NA,"combined ischaemic
heart disease and/or cerebrovascular disorder
(included haemorrhagic, ischaemic or other cerebrovascular disorders)",complex,none,NA,0,0,any,2,000000000,complex,41
4021,26299520,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,41
4022,26299520,NA,hba1c,Glycated Hemoglobin A,D006442,NA,0,0,any,2,000000000,Glycated Hemoglobin A,41
4023,26299520,NA,hdl,Lipoproteins,D008074,NA,0,0,any,2,000000000,Lipoproteins,41
4024,26299520,NA,insulin or oral use,Insulin,D007328,NA,0,0,any,2,000000000,Insulin,41
4025,26299520,NA,LUTS severity,Lower Urinary Tract Symptoms,D059411,NA,0,0,severity,11,000100000,Lower Urinary Tract Symptoms,277
4026,26299520,NA,number of antihypertensive medications used,Antihypertensive Agents,D000959,NA,0,0,any,2,000000000,Antihypertensive Agents,41
4027,26299520,NA,obesity,Obesity,D009765,NA,0,0,any,2,000000000,Obesity,41
4028,26299520,NA,smoke,Cigarette Smoking,D000073865,NA,0,0,any,2,000000000,Cigarette Smoking,41
4029,26299520,NA,statin  statin use or other lipid-lowering medication,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,0,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,41
4030,26308684,NA,6-minute walk distance,Exercise,D015444,NA,0,0,any,2,000000000,Exercise,22
4031,26308684,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,23
4032,26308684,NA,pulmonary arterial hypertension etiology,Hypertension,D006973,NA,0,0,aetiological,1,000001000,Hypertension,22
4033,26308684,NA,region,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,22
4034,26308684,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,22
4035,26308684,NA,World Health Organization functional class.,Pulmonary Arterial Hypertension,D000081029,NA,0,0,severity,11,000100000,Pulmonary Arterial Hypertension,22
4036,26321103,2,age,Age Factors,D000367,NA,0,1077,any,2,000000000,Age Factors,NA
4037,26321103,2,diabetes,Diabetes Mellitus,D003920,NA,0,1077,any,2,000000000,Diabetes Mellitus,NA
4038,26321103,2,dyslipidemia,Dyslipidemias,D050171,NA,0,1077,any,2,000000000,Dyslipidemias,NA
4039,26321103,2,ejection fraction,Stroke Volume,D013318,NA,0,1077,any,2,000000000,Stroke Volume,NA
4040,26321103,2,final timi flow,Thrombosis,D013927,NA,0,1077,any,2,000000000,Thrombosis,NA
4041,26321103,2,Hypertension,Hypertension,D006973,NA,0,1077,any,2,000000000,Hypertension,NA
4042,26321103,2,initial timi flow,Thrombosis,D013927,NA,0,1077,any,2,000000000,Thrombosis,NA
4043,26321103,2,killip at baseline,Heart Failure,D006333,NA,0,1077,severity,11,000100000,Heart Failure,NA
4044,26321103,2,male female,Gender Identity,D005783,NA,0,1077,any,2,000000000,Gender Identity,NA
4045,26321103,2,rentrop score,Coronary Vessel Anomalies,D003330,NA,0,1077,severity,11,000100000,Coronary Vessel Anomalies,NA
4046,26321103,2,symptom onset,Acute Coronary Syndrome,D054058,NA,0,1077,duration,5,001000000,Acute Coronary Syndrome,NA
4047,26321103,2,thrombus aspiration,Thrombosis,D013927,NA,0,1077,any,2,000000000,Thrombosis,NA
4048,26330422,2,age,Age Factors,D000367,NA,0,1427,any,2,000000000,Age Factors,NA
4049,26330422,2,bmi,Body Mass Index,D015992,NA,0,1427,any,2,000000000,Body Mass Index,NA
4050,26330422,2,diabetes mellitus,Diabetes Mellitus,D003920,NA,0,1427,any,2,000000000,Diabetes Mellitus,NA
4051,26330422,2,dose of atorvastatin,Atorvastatin,D000069059,NA,0,1427,any,2,000000000,Atorvastatin,NA
4052,26330422,2,dose of atorvastatin;40 mg,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1427,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
4053,26330422,2,dose of rosuvastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1427,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
4054,26330422,2,ethnicity;hispanic or latino,Racial Groups,D044469,NA,0,1427,any,2,000000000,Racial Groups,NA
4055,26330422,2,gender,Gender Identity,D005783,NA,0,1427,any,2,000000000,Gender Identity,NA
4056,26330422,2,llt other than statin at randomization,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1427,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
4057,26330422,2,moderate ckd,Renal Insufficiency,D051437,NA,0,1427,severity,11,000100000,Renal Insufficiency,NA
4058,26330422,2,prior history of ml or ischemic stroke,Cardiovascular Diseases,D002318,NA,0,1427,previous,8,100000000,Cardiovascular Diseases,NA
4059,26330422,2,race,Racial Groups,D044469,NA,0,1427,any,2,000000000,Racial Groups,NA
4060,26330422,2,race;black or african american,Racial Groups,D044469,NA,0,1427,any,2,000000000,Racial Groups,NA
4061,26330422,2,region,Geographic Locations,D005842,NA,0,1427,any,2,000000000,Geographic Locations,NA
4062,26330422,2,region;rest of world,Geographic Locations,D005842,NA,0,1427,any,2,000000000,Geographic Locations,NA
4063,26330422,2,statin treatment,lipid modifying agents,NA,C10,0,1427,any,2,000000000,lipid modifying agents,NA
4064,26338971,2,;no thienopyridine,Thienopyridines,D058924,NA,0,1482,any,2,000000000,Thienopyridines,NA
4065,26338971,2,;thienopyridine,Thienopyridines,D058924,NA,0,1482,any,2,000000000,Thienopyridines,NA
4066,26358285,2,cvd subjects,Cardiovascular Diseases,D002318,NA,0,1613,any,2,000000000,Cardiovascular Diseases,NA
4067,26358285,2,"race, non-white",Racial Groups,D044469,NA,0,1613,any,2,000000000,Racial Groups,NA
4068,26358285,2,"region, europe union",Geographic Locations,D005842,NA,0,1613,any,2,000000000,Geographic Locations,NA
4069,26358285,2,"renal function, moderate",Renal Insufficiency,D051437,NA,0,1613,severity,11,000100000,Renal Insufficiency,NA
4070,26358285,2,"renal function, normal- mild",Renal Insufficiency,D051437,NA,0,1613,severity,11,000100000,Renal Insufficiency,NA
4071,26358285,2,"renal function, severe",Renal Insufficiency,D051437,NA,0,1613,severity,11,000100000,Renal Insufficiency,NA
4072,26373629,2,age,Age Factors,D000367,NA,0,866,any,2,000000000,Age Factors,NA
4073,26373629,3,Gender,Gender Identity,D005783,NA,0,1595,any,2,000000000,Gender Identity,NA
4074,26374849,2,ejection fraction group,Stroke Volume,D013318,NA,0,239,any,2,000000000,Stroke Volume,NA
4075,26378978,2,acetylsalicylic acid,Aspirin,D001241,NA,0,533,any,2,000000000,Aspirin,NA
4076,26378978,2,age,Age Factors,D000367,NA,0,533,any,2,000000000,Age Factors,NA
4077,26378978,2,albuminuria,Albuminuria,D000419,NA,0,533,any,2,000000000,Albuminuria,NA
4078,26378978,2,angiotensin-converting enzyme inhibitors/ angiotensin receptor blockers,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,533,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
4079,26378978,2,antihypertensives,Antihypertensive Agents,D000959,NA,0,533,any,2,000000000,Antihypertensive Agents,NA
4080,26378978,2,beta blockers,Adrenergic beta-Antagonists,D000319,NA,0,533,any,2,000000000,Adrenergic beta-Antagonists,NA
4081,26378978,2,blood pressure control,Blood Pressure,D001794,NA,0,533,any,2,000000000,Blood Pressure,NA
4082,26378978,2,blood pressure control;sbp <140 mmhg and dbp <90 mmhg,Blood Pressure,D001794,NA,0,533,any,2,000000000,Blood Pressure,NA
4083,26378978,2,blood pressure control;sbp >140 mmhg and/or dbp >90 mmhg,Blood Pressure,D001794,NA,0,533,any,2,000000000,Blood Pressure,NA
4084,26378978,2,body mass index,Body Mass Index,D015992,NA,0,533,any,2,000000000,Body Mass Index,NA
4085,26378978,2,calcium channel blockers,Calcium Channel Blockers,D002121,NA,0,533,any,2,000000000,Calcium Channel Blockers,NA
4086,26378978,2,cardiovascular risk,Cardiovascular Diseases,D002318,NA,0,533,severity,11,000100100,Cardiovascular Diseases,NA
4087,26378978,2,cardiovascular risk;2 or 3 high cardiovascular risk categories,Cardiovascular Diseases,D002318,NA,0,533,severity,11,000100100,Cardiovascular Diseases,NA
4088,26378978,2,cardiovascular risk;only cerebrovascular disease,Stroke,D020521,NA,0,533,risk score,10,000000100,Stroke,NA
4089,26378978,2,cardiovascular risk;only coronary artery disease,Coronary Artery Disease,D003324,NA,0,533,risk score,10,000000100,Coronary Artery Disease,NA
4090,26378978,2,diuretics,Diuretics,D004232,NA,0,533,any,2,000000000,Diuretics,NA
4091,26378978,2,dpp-4 inhibitor,Hypoglycemic Agents,D007004,NA,0,533,any,2,000000000,Hypoglycemic Agents,NA
4092,26378978,2,estimated Glomerular Filtration Rate,Glomerular Filtration Rate,D005919,NA,0,533,any,2,000000000,Glomerular Filtration Rate,NA
4093,26378978,2,ethnicity;hispanic/latino,Racial Groups,D044469,NA,0,533,any,2,000000000,Racial Groups,NA
4094,26378978,2,glycated hemoglobin,Glycated Hemoglobin A,D006442,NA,0,533,any,2,000000000,Glycated Hemoglobin A,NA
4095,26378978,2,insulin,Insulin,D007328,NA,0,533,any,2,000000000,Insulin,NA
4096,26378978,2,metformin,Hypoglycemic Agents,D007004,NA,0,533,any,2,000000000,Hypoglycemic Agents,NA
4097,26378978,2,race,Racial Groups,D044469,NA,0,533,any,2,000000000,Racial Groups,NA
4098,26378978,2,region,Geographic Locations,D005842,NA,0,533,any,2,000000000,Geographic Locations,NA
4099,26378978,2,sex,Gender Identity,D005783,NA,0,533,any,2,000000000,Gender Identity,NA
4100,26378978,2,statins/ezetimibe,lipid modifying agents,NA,C10,0,533,any,2,000000000,lipid modifying agents,NA
4101,26378978,2,sulfonylurea,Hypoglycemic Agents,D007004,NA,0,533,any,2,000000000,Hypoglycemic Agents,NA
4102,26378978,2,thiazolidinediones,Hypoglycemic Agents,D007004,NA,0,533,any,2,000000000,Hypoglycemic Agents,NA
4103,26378978,3,acetylsalicylic acid,Aspirin,D001241,NA,0,986,any,2,000000000,Aspirin,NA
4104,26378978,3,age,Age Factors,D000367,NA,0,986,any,2,000000000,Age Factors,NA
4105,26378978,3,albuminuria,Albuminuria,D000419,NA,0,986,any,2,000000000,Albuminuria,NA
4106,26378978,3,angiotensin-converting enzyme inhibitors/ angiotensin receptor blockers,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,986,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
4107,26378978,3,antihypertensives,Antihypertensive Agents,D000959,NA,0,986,any,2,000000000,Antihypertensive Agents,NA
4108,26378978,3,beta blockers,Adrenergic beta-Antagonists,D000319,NA,0,986,any,2,000000000,Adrenergic beta-Antagonists,NA
4109,26378978,3,blood pressure control,Blood Pressure,D001794,NA,0,986,any,2,000000000,Blood Pressure,NA
4110,26378978,3,blood pressure control;sbp <140 mmhg and dbp <90 mmhg,Blood Pressure,D001794,NA,0,986,any,2,000000000,Blood Pressure,NA
4111,26378978,3,blood pressure control;sbp >140 mmhg and/or dbp >90 mmhg,Blood Pressure,D001794,NA,0,986,any,2,000000000,Blood Pressure,NA
4112,26378978,3,body mass index,Body Mass Index,D015992,NA,0,986,any,2,000000000,Body Mass Index,NA
4113,26378978,3,calcium channel blockers,Calcium Channel Blockers,D002121,NA,0,986,any,2,000000000,Calcium Channel Blockers,NA
4114,26378978,3,cardiovascular risk,Cardiovascular Diseases,D002318,NA,0,986,severity,11,000100100,Cardiovascular Diseases,NA
4115,26378978,3,cardiovascular risk;2 or 3 high cardiovascular risk categories,Cardiovascular Diseases,D002318,NA,0,986,severity,11,000100100,Cardiovascular Diseases,NA
4116,26378978,3,cardiovascular risk;only cerebrovascular disease,Stroke,D020521,NA,0,986,risk score,10,000000100,Stroke,NA
4117,26378978,3,cardiovascular risk;only coronary artery disease,Coronary Artery Disease,D003324,NA,0,986,risk score,10,000000100,Coronary Artery Disease,NA
4118,26378978,3,diuretics,Diuretics,D004232,NA,0,986,any,2,000000000,Diuretics,NA
4119,26378978,3,estimated Glomerular Filtration Rate,Glomerular Filtration Rate,D005919,NA,0,986,any,2,000000000,Glomerular Filtration Rate,NA
4120,26378978,3,ethnicity;hispanic/latino,Racial Groups,D044469,NA,0,986,any,2,000000000,Racial Groups,NA
4121,26378978,3,glycated hemoglobin,Glycated Hemoglobin A,D006442,NA,0,986,any,2,000000000,Glycated Hemoglobin A,NA
4122,26378978,3,insulin,Insulin,D007328,NA,0,986,any,2,000000000,Insulin,NA
4123,26378978,3,metformin,Hypoglycemic Agents,D007004,NA,0,986,any,2,000000000,Hypoglycemic Agents,NA
4124,26378978,3,region,Geographic Locations,D005842,NA,0,986,any,2,000000000,Geographic Locations,NA
4125,26378978,3,region;north america plus australia and new zealand,Geographic Locations,D005842,NA,0,986,any,2,000000000,Geographic Locations,NA
4126,26378978,3,sex,Gender Identity,D005783,NA,0,986,any,2,000000000,Gender Identity,NA
4127,26378978,3,statins/ezetimibe,lipid modifying agents,NA,C10,0,986,any,2,000000000,lipid modifying agents,NA
4128,26378978,3,sulfonylurea,Hypoglycemic Agents,D007004,NA,0,986,any,2,000000000,Hypoglycemic Agents,NA
4129,26400827,3,;femoral,Percutaneous Coronary Intervention,D062645,NA,0,745,location,7,000000001,Percutaneous Coronary Intervention,NA
4130,26422723,NA,previous anti-TNF therapy,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,0,previous,8,100000000,Tumor Necrosis Factor Inhibitors,224
4131,26446706,1,'level of renal impairment\'',Renal Insufficiency,D051437,NA,0,870,severity,11,000100000,Renal Insufficiency,NA
4132,26446706,1,age,Age Factors,D000367,NA,0,870,any,2,000000000,Age Factors,NA
4133,26446706,1,body weight*,Body Weight,D001835,NA,0,870,any,2,000000000,Body Weight,NA
4134,26446706,1,index event;dvt only,Venous Thromboembolism,D054556,NA,0,870,any,2,000000000,Venous Thromboembolism,NA
4135,26446706,1,index event;pe (with or without dvt),Venous Thromboembolism,D054556,NA,0,870,any,2,000000000,Venous Thromboembolism,NA
4136,26446706,1,level of renal impairment\,Renal Insufficiency,D051437,NA,0,870,severity,11,000100000,Renal Insufficiency,NA
4137,26446706,1,"Renal Insufficiency, Moderate (severity modifier),",Renal Insufficiency,D051437,NA,0,870,severity,11,000100000,Renal Insufficiency,NA
4138,26446706,1,sex,Gender Identity,D005783,NA,0,870,any,2,000000000,Gender Identity,NA
4139,26459421,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
4140,26459421,NA,obese,Obesity,D009765,NA,0,0,any,2,000000000,Obesity,NA
4141,26459421,NA,previous cardiovascular event,Cardiovascular Diseases,D002318,NA,0,0,previous,8,100000000,Cardiovascular Diseases,NA
4142,26459421,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,NA
4143,26459421,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
4144,26471380,2,prior Levetiracetam,Anticonvulsants,D000927,NA,0,268,previous,8,100000000,Anticonvulsants,NA
4145,26475142,2,elevated natriuretic peptide level (n=92),"Natriuretic Peptide, Brain",D020097,NA,0,1856,any,2,000000000,"Natriuretic Peptide, Brain",NA
4146,26475142,2,prior hf hospitalization (n=147),Heart Failure,D006333,NA,0,1856,previous,8,100000000,Heart Failure,NA
4147,26475142,3,;enrolled in russia or georgia,Geographic Locations,D005842,NA,0,1413,any,2,000000000,Geographic Locations,NA
4148,26486868,NA,Rt-PA treatment,unclassifiable,NA,NA,0,0,any,2,000000000,unclassifiable,NA
4149,26486868,NA,time to treatment,Time-to-Treatment,D061665,NA,0,0,any,2,000000000,Time-to-Treatment,NA
4150,26486868,NA,vascular occlusion,Arterial Occlusive Diseases,D001157,NA,0,0,any,2,000000000,Arterial Occlusive Diseases,NA
4151,26491109,NA,Timing of P2Y12 withdrawal,unclassifiable,NA,NA,0,0,severity,11,000100000,unclassifiable,126
4152,26523993,2,;diabetes mellitus,Diabetes Mellitus,D003920,NA,0,726,any,2,000000000,Diabetes Mellitus,NA
4153,26523993,2,;no diabetes mellitus,Diabetes Mellitus,D003920,NA,0,726,any,2,000000000,Diabetes Mellitus,NA
4154,26523993,3,diabetes yes no,Diabetes Mellitus,D003920,NA,0,1212,any,2,000000000,Diabetes Mellitus,NA
4155,26524706,2,;hba1c 7-<=8%,Glycated Hemoglobin A,D006442,NA,0,58,any,2,000000000,Glycated Hemoglobin A,NA
4156,26524706,2,;hba1c 8-<=9%,Glycated Hemoglobin A,D006442,NA,0,58,any,2,000000000,Glycated Hemoglobin A,NA
4157,26524706,2,;hba1c<7%,Glycated Hemoglobin A,D006442,NA,0,58,any,2,000000000,Glycated Hemoglobin A,NA
4158,26524706,2,;hba1c>=9%,Glycated Hemoglobin A,D006442,NA,0,58,any,2,000000000,Glycated Hemoglobin A,NA
4159,26524706,2,HbA1C,Glycated Hemoglobin A,D006442,NA,0,58,any,2,000000000,Glycated Hemoglobin A,NA
4160,26524706,3,;hba1c 7-<=8%,Glycated Hemoglobin A,D006442,NA,0,1576,any,2,000000000,Glycated Hemoglobin A,NA
4161,26524706,3,;hba1c 8-<=9%,Glycated Hemoglobin A,D006442,NA,0,1576,any,2,000000000,Glycated Hemoglobin A,NA
4162,26524706,3,;hba1c<7%,Glycated Hemoglobin A,D006442,NA,0,1576,any,2,000000000,Glycated Hemoglobin A,NA
4163,26524706,3,;hba1c>=9%,Glycated Hemoglobin A,D006442,NA,0,1576,any,2,000000000,Glycated Hemoglobin A,NA
4164,26524706,3,HbA1C,Glycated Hemoglobin A,D006442,NA,0,1576,any,2,000000000,Glycated Hemoglobin A,NA
4165,26541915,2,"risk category (points);0-3 (n = 1,499)",Heart Failure,D006333,NA,1,1431,severity,11,000100000,Heart Failure,NA
4166,26541915,2,"risk category (points);4 (n = 1,314)",Heart Failure,D006333,NA,1,1431,severity,11,000100000,Heart Failure,NA
4167,26541915,2,"risk category (points);5 (n = 1,325)",Heart Failure,D006333,NA,1,1431,severity,11,000100000,Heart Failure,NA
4168,26541915,2,risk category (points);6 (n = 987),Heart Failure,D006333,NA,1,1431,severity,11,000100000,Heart Failure,NA
4169,26541915,2,risk category (points);7-12 (n = 987),Heart Failure,D006333,NA,1,1431,severity,11,000100000,Heart Failure,NA
4170,26541915,6,enalapril,Angiotensin-Converting Enzyme Inhibitors,D000806,NA,0,1535,any,2,000000000,Angiotensin-Converting Enzyme Inhibitors,NA
4171,26541915,6,LCZ696,Heart Failure,D006333,NA,1,1535,any,2,000000000,Heart Failure,NA
4172,26547918,2,lack of response to cyclosporine,Cyclosporins,D003524,NA,0,197,any,2,000000000,Cyclosporins,NA
4173,26547918,2,lack of response to methotrexate,Immunosuppressive Agents,D007166,NA,0,197,any,2,000000000,Immunosuppressive Agents,NA
4174,26547918,2,lack of response to systemic therapies,Psoriasis,D011565,NA,0,197,previous,8,100000000,Psoriasis,NA
4175,26547918,2,prior exposure to systemic therapies,Psoriasis,D011565,NA,0,197,previous,8,100000000,Psoriasis,NA
4176,26579834,1,race,Racial Groups,D044469,NA,0,375,any,2,000000000,Racial Groups,NA
4177,26580237,2,;<65 years of age,Age Factors,D000367,NA,0,13,any,2,000000000,Age Factors,NA
4178,26580237,2,;>65 years of age,Age Factors,D000367,NA,0,13,any,2,000000000,Age Factors,NA
4179,26580237,2,;egfr <60 ml/min/1.73 mz,Glomerular Filtration Rate,D005919,NA,0,13,any,2,000000000,Glomerular Filtration Rate,NA
4180,26580237,2,;egfr >60 ml/min/1.73 mz,Glomerular Filtration Rate,D005919,NA,0,13,any,2,000000000,Glomerular Filtration Rate,NA
4181,26580237,2,;fracture history,"Fractures, Bone",D050723,NA,0,13,previous,8,100000000,"Fractures, Bone",NA
4182,26580237,2,;no fracture history,"Fractures, Bone",D050723,NA,0,13,previous,8,100000000,"Fractures, Bone",NA
4183,26580237,2,duration of diabetes,Diabetes Mellitus,D003920,NA,0,13,duration,5,001000000,Diabetes Mellitus,NA
4184,26580237,2,male female,Gender Identity,D005783,NA,0,13,any,2,000000000,Gender Identity,NA
4185,26586780,2,age;< 75,Age Factors,D000367,NA,0,1694,any,2,000000000,Age Factors,NA
4186,26586780,2,age;> 75,Age Factors,D000367,NA,0,1694,any,2,000000000,Age Factors,NA
4187,26586780,2,aspirin dose at randomization,Aspirin,D001241,NA,0,1694,any,2,000000000,Aspirin,NA
4188,26586780,2,body mass index,Body Mass Index,D015992,NA,0,1694,any,2,000000000,Body Mass Index,NA
4189,26586780,2,body mass index;current tobacco use,Cigarette Smoking,D000073865,NA,0,1694,current,3,010000000,Cigarette Smoking,NA
4190,26586780,2,body mass index;diabetes,Diabetes Mellitus,D003920,NA,0,1694,any,2,000000000,Diabetes Mellitus,NA
4191,26586780,2,body mass index;history of cancer,Neoplasms,D009369,NA,0,1694,previous,8,100000000,Neoplasms,NA
4192,26586780,2,body mass index;no current tobacco use,Cigarette Smoking,D000073865,NA,0,1694,current,3,010000000,Cigarette Smoking,NA
4193,26586780,2,body mass index;no diabetes,Diabetes Mellitus,D003920,NA,0,1694,any,2,000000000,Diabetes Mellitus,NA
4194,26586780,2,body mass index;no history of cancer,Neoplasms,D009369,NA,0,1694,family history,6,000010000,Neoplasms,NA
