nct_id,phase,number_of_arms,brief_title,official_title,enrollment,start_date,completion_date,sponsor
NCT00195494,Phase 4,4,Study Comparing Etanercept and Methotrexate vs. Methotrexate Alone in Rheumatoid Arthritis,"A 24-Month,Randomized,Double-Blind,Two-Period Study to Evaluate the Efficacy and Safety of the Combination of Etanercept and Methotrexate and Methotrexate Alone in Subjects With Early Rheumatoid Arthritis",542,2004-11-01,2008-03-01,Wyeth is now a wholly owned subsidiary of Pfizer
NCT00195702,Phase 3,6,Efficacy and Safety of Adalimumab in Patients With Active Rheumatoid Arthritis Treated Concomitantly With Methotrexate.,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of the Human Anti-TNF Monoclonal Antibody Adalimumab in Rheumatoid Arthritis Patients Currently Receiving Treatment With Methotrexate",619,2000-02-01,2010-08-01,Abbott
NCT00207662,Phase 3,NA,A Safety and Efficacy Study of Infliximab (Remicade) in Patients With Moderate to Severe Active Crohn's Disease,"ACCENT I - A Randomized, Double-blind, Placebo-controlled Trial of Anti-TNFa Chimeric Monoclonal Antibody (Infliximab, Remicade) in the Long-term Treatment of Patients With Moderately to Severely Active Crohn's Disease",580,2000-07-01,2005-11-01,"Centocor, Inc."
NCT00212667,Phase 3,NA,Controlled Study of ONO-5920 in Patients With Involutional Osteoporosis in Japan,Controlled Study of ONO-5920 in Patients With Involutional Osteoporosis in Japan,650,2002-08-01,NA,Ono Pharmaceutical Co. Ltd
NCT00220233,Phase 3,NA,Olmesartan as an Add-on to Amlodipine in Hypertension,Add-on Study of Olmesartan Medoxomil in Patients With Moderate to Severe Hypertension Not Achieving Target Blood Pressure on Amlodipine 5 mg Alone,632,2005-04-01,2007-08-01,"Daiichi Sankyo, Inc."
NCT00222261,Phase 4,2,Aspirin Non-responsiveness and Clopidogrel Endpoint Trial.,Aspirin Non-responsiveness and Clopidogrel Endpoint Trial.,1001,2003-04-01,2010-07-01,Oslo University Hospital
NCT00229424,Phase 3,3,Verification Study on Lafutidine in Mild Reflux Oesophagitis - Double Blind Controlled Study With Famotidine -,Verification Study on Lafutidine in Mild Reflux Oesophagitis - Double Blind Controlled Study With Famotidine -,325,2005-04-01,2007-01-01,"Taiho Pharmaceutical Co., Ltd."
NCT00232050,Phase 3,NA,Study of Omalizumab in Moderate to Severe Bronchial Asthma,Study of Omalizumab in Moderate to Severe Bronchial Asthma,327,2002-10-01,2005-05-01,Novartis
NCT00242411,Phase 4,NA,MONO: Symbicort® Single Inhaler Therapy and Conventional Best Standard Treatment for the Treatment of Persistent Asthma in Adolescents and Adults,"A Comparison of the Efficacy of Symbicort® Single Inhaler Therapy (Symbicort Turbuhaler® 160/4.5 mg 1 Inhalation b.i.d. Plus As-needed) and Conventional Best Standard Treatment for the Treatment of Persistent Asthma in Adolescents and Adults. A Randomized, Open, Parallel-group, Multicentre 26-weeks Study",1900,2004-09-01,2006-10-01,AstraZeneca
NCT00249795,Phase 3,2,Atrial Fibrillation Clopidogrel Trial With Irbesartan for Prevention of Vascular Events (ACTIVE I),"A Parallel Randomized Controlled Evaluation of Clopidogrel Plus Aspirin, With Factorial Evaluation of Irbesartan, for the Prevention of Vascular Events, in Patients With Atrial Fibrillation",9016,2003-06-01,2009-08-01,Sanofi
NCT00250679,Phase 3,3,Safety and Efficacy of Arformoterol Tartrate Inhalation Solution in Subjects With Chronic Obstructive Pulmonary Disease,"Multicenter, Double-Blind, Double-Dummy, Randomized, Active-Controlled, Parallel Group Long-Term Safety Study of 15 μg and 25 μg Arformoterol Tartrate Inhalation Solution BID in Subjects With Chronic Obstructive Pulmonary Disease",443,2005-10-01,2007-10-01,Sunovion
NCT00252668,Phase 4,NA,Study Evaluating the Combination of Etanercept and Methotrexate in Rheumatoid Arthritis Subjects,"An Open-Label, Multicentre, Extension Study of the Combination of Etanercept and Methotrexate in Rheumatoid Arthritis Subjects",300,2004-06-01,2005-09-01,Wyeth is now a wholly owned subsidiary of Pfizer
NCT00253188,Phase 3,NA,A Study of the Safety and Effectiveness of Two Doses of Galantamine Versus Placebo in the Treatment of Patients With Alzheimer's Disease,"Efficacy, Tolerability and Safety of Galantamine in the Treatment of Alzheimer's Disease",653,1997-02-01,1998-12-01,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."
NCT00257686,Phase 3,6,Study to Compare the Efficacy and Safety of Pitavastatin and Pravastatin in Elderly Patients,"Study Of Pitavastatin 1 Mg Vs. Pravastatin 10 Mg, Pitavastatin 2 Mg Vs. Pravastatin 20 Mg And Pitavastatin 4 Mg Vs. Pravastatin 40 Mg (Following Up-Titration) In Elderly Patients With Primary Hypercholesterolemia Or Combined Dyslipidemia",962,2005-09-01,2006-05-01,Kowa Research Europe
NCT00273299,Phase 3,NA,Valsartan/Hydrochlorothiazide Combination in the Treatment of Severe Hypertension,A 6-Week Study to Evaluate the Combination of Valsartan/HCTZ (160/12.5mg With Forced Titration to Maximum Dose of 320/25mg) Compared to Valsartan Monotherapy (160mg With Forced Titration to 320mg) as Initial Therapy in Patients With Severe Hypertension,607,2005-11-01,2006-07-01,Novartis
NCT00274014,Phase 3,NA,Measure of the Long Term Influence of SPIRIVA® in Acute Respiratory Disorders,Effects of Inhaled Tiotropium Bromide on Severity of Airflow Obstruction During Long-term Treatment in Patients With Moderately Severe Copd. Impact on Severity and Incidence of Exacerbations.,1000,2000-10-01,2003-10-01,Boehringer Ingelheim
NCT00277394,Phase 4,2,Innohep® in Elderly Patients With Impaired Renal Function Treated for Acute Deep Vein Thrombosis,Safety Profile of Innohep Versus Subcutaneous Unfractionated Heparin in Elderly Patients With Impaired Renal Function Treated for Acute Deep Vein Thrombosis,541,2005-12-01,2008-07-01,LEO Pharma
NCT00285519,Phase 4,NA,Japan Morning Surge-1 Study,"The Effects of Controlling Morning Hypertension on Target Organ Damage With Adrenergic Blockers, Based on Self-Measured Morning Blood Pressure Readings",600,2003-08-01,2005-08-01,Japan Heart Foundation
NCT00289848,Phase 3,2,MK0431 Monotherapy Study in Patients With Type 2 Diabetes Mellitus (0431-040),"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of MK0431 in Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control",530,2006-03-01,2007-03-01,Merck Sharp & Dohme Corp.
NCT00309738,Phase 3,2,Study to Compare the Efficacy and Safety of Pitavastatin and Simvastatin,Study of Pitavastatin Vs. Simvastatin (Following Up-Titration) in Patients With Primary Hypercholesterolemia or Combined Dyslipidemia and 2 or More Risk Factors for Coronary Heart Disease,355,2005-09-01,2006-10-01,Kowa Research Europe
NCT00309777,Phase 3,4,Study to Compare the Efficacy and Safety of Pitavastatin and Simvastatin,Study of Pitavastatin Vs. Simvastatin (Following Up-Titration) in Patients With Primary Hypercholesterolemia or Combined Dyslipidemia,857,2005-09-01,2006-10-01,Kowa Research Europe
NCT00318422,Phase 3,NA,Effect of Liraglutide on Blood Glucose Control in Subjects With Type 2 Diabetes,Liraglutide Effect and Action in Diabetes (LEAD-1): Effect on Glycaemic Control After Once Daily Administration of Liraglutide in Combination With Glimepiride Versus Glimepiride Monotherapy Versus Glimepiride and Rosiglitazone Combination Therapy in Subjects With Type 2 Diabetes.,1041,2006-05-01,2007-05-01,Novo Nordisk A/S
NCT00322257,Phase 3,2,Safety and Efficacy of Inhaled Insulin in Type 1 Diabetes,"Inhaled Mealtime Insulin With the AERx® iDMS Versus Subcutaneous Injected Insulin Aspart Both in Combination With Insulin Detemir in Type 1 Diabetes: A 104 Week, Open-Label, Multicenter, Randomised, Parallel Trial (Followed by a Twelve-Week Re-Randomised Extension) To Investigate Safety and Efficacy",596,2006-05-01,2008-04-02,Novo Nordisk A/S
NCT00327145,Phase 3,NA,A Study to Evaluate the Combination of Valsartan and Amlodipine in Hypertensive Patients Not Controlled on Monotherapy,"A Double-blind, Randomized, Multicenter Study to Evaluate the Effectiveness of the Combination of Valsartan & Amlodipine in Hypertensive Patients Not Controlled on Monotherapy",894,2006-03-01,2007-01-01,Novartis
NCT00327418,Phase 4,NA,CARDS Is Designed To Show If Lowering Cholesterol With Atorvastatin In Type 2 Diabetics Without CV Disease Reduces The Risk Of CV Events,A Double Blind Placebo Controlled Study of Atorvastatin as Prevention of CHD in High Risk Patients With Non-Insulin Dependent Diabetes Mellitus (Collaborative Atorvastatin Study - CARDS),2800,1997-01-01,2004-02-01,Pfizer
NCT00332020,Phase 3,2,"Regulation of Coagulation in Orthopedic Surgery to Prevent DVT and PE, a Controlled, Double-blind, Randomized Study of BAY 59-7939 in the Extended Prevention of VTE in Patients Undergoing Elective Total Hip Replacement","RECORD 2 Study: REgulation of Coagulation in ORthopedic Surgery to Prevent DVT and PE, Controlled, Double-blind, Randomized Study of BAY 59-7939 in the Extended Prevention of VTE in Patients Undergoing Elective Hip Replacement.",2457,2006-02-01,2007-06-01,Bayer
NCT00353912,Phase 3,NA,Efficacy & Safety of Orally Administered Valsartan/Amlodipine Combo Therapy vs Amlodipine Monotherapy in Black Patients With Stage II Hypertension,"A 12-week, Multicenter Study to Evaluate the Efficacy and Safety of Orally Administered Valsartan/Amlodipine Combo Based Therapy vs Amlodipine Monotherapy in Black Patients With Stage II Hypertension",571,2006-06-01,2007-04-01,Novartis
NCT00365950,Phase 4,NA,3 Months' Versus 6 Months' Anticoagulation in Patients With DVT and/or PE,Clinical Trial of Two Durations of Warfarin Therapy in the Treatment of Deep Vein Thrombosis and/or Pulmonary Embolism,2400,1999-09-01,2003-12-01,British Thoracic Society
NCT00376272,Phase 3,2,GISSI-AF - Use of Valsartan an Angiotensin II AT1-Receptor Blocker in the Prevention of Atrial Fibrillation Recurrence,"Randomized, Prospective, Parallel Group, Placebo-Controlled, Multi-Center Study on the Use of Valsartan an Angiotensin II AT1-Receptor Blocker in the Prevention of Atrial Fibrillation Recurrence",1442,2004-11-01,2008-03-01,Gruppo di Ricerca GISSI
NCT00379249,Phase 3,NA,Rosuvastatin ORBITAL Germany,Effects of a Twelve Months ROSUVASTATIN Treatment Plus Additional Care (Drug Intake Adherence and Lifestyle Enhancing Initiatives ) Compared to ROSUVASTATIN Treatment Alone on Long-Term Disease-Related Costs in Patients With an Indication for Statin Treatment According to the Joint European Guidelines,8000,2002-02-01,2004-02-01,AstraZeneca
NCT00383240,Phase 3,4,Effects of Mometasone Furoate/Formoterol Combination Versus Mometasone Furoate Alone in Persistent Asthmatics (Study P04334AM1)(COMPLETED),A 26-Week Placebo-Controlled Efficacy and Safety Study of Mometasone Furoate/Formoterol Fumarate Combination Formulation Compared With Mometasone Furoate and Formoterol Monotherapy in Subjects With Persistent Asthma Previously Treated With Medium-Dose Inhaled Glucocorticosteroids,781,2006-09-01,2008-09-01,Merck Sharp & Dohme Corp.
NCT00385138,Phase 3,2,Cangrelor Versus Standard Therapy to Achieve Optimal Management of Platelet Inhibition.,"A Clinical Trial Comparing Treatment With Cangrelor (in Combination With Usual Care) to Usual Care, in Subjects Who Require Percutaneous Coronary Intervention (PCI).",5364,2006-09-01,2010-06-01,The Medicines Company
NCT00395512,Phase 3,4,Efficacy of Alogliptin With Pioglitazone (Actos®) in Subjects With Type 2 Diabetes Mellitus,"A Multicenter, Double-Blind Study to Determine the Efficacy and Safety of SYR-322 Plus Pioglitazone HCl (Actos®), SYR-322 Alone or Pioglitazone HCl Alone in Subjects With Type 2 Diabetes",655,2006-11-01,2008-02-01,Takeda
NCT00396227,Phase 3,2,Safety and Efficacy of Vildagliptin vs. Thiazolidinedione as add-on Therapy to Metformin in Patients With Type 2 Diabetes Not Controlled With Metformin Alone,"A Multi-center, Randomized, Open-label, Active Controlled, Parallel Arm Study to Compare the Efficacy of 12 Weeks of Treatment With Vildagliptin 100 mg, qd to Thiazolidinedione (TZD) as add-on Therapy in Patients With Type 2 Diabetes Inadequately Controlled With Metformin Monotherapy in a Community-based Practice Setting.",2665,2006-10-01,NA,Novartis
NCT00406419,Phase 3,3,A Study of Ocrelizumab Compared to Placebo in Patients With Active Rheumatoid Arthritis Continuing Methotrexate Treatment (STAGE),"A Randomized, Double-Blind, Parallel Group, International Study to Evaluate the Safety and Efficacy of Ocrelizumab Compared to Placebo in Patients With Active Rheumatoid Arthritis Continuing Methotrexate Treatment",1015,2006-12-01,2015-04-01,"Genentech, Inc."
NCT00414609,Phase 3,2,Safety and Efficacy of Aliskiren in Post Myocardial Infarction Patients (ASPIRE),"A 36-week, Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group Study Including a 2 Year Extension Study to Evaluate Efficacy and Safety of Aliskiren on the Prevention of Left Ventricular Remodeling in High Risk Post-acute Myocardial Infarction Patients When Added to Optimized Standard Therapy",820,2006-12-01,2011-07-01,Novartis
NCT00430729,Phase 3,NA,Effect of Roflumilast on Exacerbation Rate in Patients With Chronic Obstructive Pulmonary Disease. Ratio-Study. (BY217/M2-112),Effect of Roflumilast on Exacerbation Rate in Patients With Chronic Obstructive Pulmonary Disease. A 52 Weeks Double Blind Study With 500mcg Roflumilast Once Daily Versus Placebo. Ratio-Study.,1100,2003-01-01,NA,AstraZeneca
NCT00451412,Phase 3,2,A Comparison of Certoparin and Unfractionated Heparin in the Prevention of Thromboembolic Events in Acutely Ill Medical Patients,"A Randomized, Double-blind, Multi-center Comparison of the Efficacy and Safety of Certoparin (3000 U Anti-Xa o.d.) With Unfractionated Heparin (5000 IU t.i.d.) in the Prophylaxis of Thromboembolic Events in Acutely Ill Medical Patients",3254,2007-01-01,2009-06-01,Novartis
NCT00452699,Phase 4,2,A 12-Month Study Comparing Fluticasone Propionate/Salmeterol (ADVAIR) DISKUS Combination Product 250/50mcg BID To Fluticasone Propionate (FLOVENT) DISKUS 250 mcg BID In Symptomatic Subjects With Asthma,"A 52-week, Randomized, Double-Blind, Parallel-Group Study of Fluticasone Propionate/Salmeterol DISKUS Combination Product (FSC) 250/50 mcg BID and Fluticasone Propionate (FP) DISKUS 250 mcg BID in Treatment of Subjects With Asthma",621,2007-05-01,2009-05-01,GlaxoSmithKline
NCT00463866,Phase 4,2,Local Phase 4 Pan-European SMART Study,NA,8424,2007-03-01,2008-12-01,AstraZeneca
NCT00480805,Phase 3,NA,HYZAAR vs. Ramipril for Diabetes (0954A-245)(COMPLETED),HYZAAR Versus Ramipril Diabetic Patients,312,2001-08-08,2002-10-16,Merck Sharp & Dohme Corp.
NCT00542087,Phase 3,NA,Etoricoxib vs. Diclofenac in OA (0663-805)(COMPLETED),"A Randomized, Double-Blind Study to Evaluate the Safety and Efficacy of Etoricoxib 60 mg and Diclofenac Sodium 150 mg in Patient With Osteoarthritis of the Knee or Hip",516,2002-03-22,2002-12-20,Merck Sharp & Dohme Corp.
NCT00553267,Phase 3,NA,Telmisartan/Amlodipine (80/10) vs. Telmisartan/Amlodipine (40/10) vs. amlodipine10 in Resistant Hypertension,"An Eight-week Randomised, Double-blind Study to Compare the Fixed-dose Combination of Telmisartan 40mg + Amlodipine 10mg Versus Telmisartan 80mg + Amlodipine 10mg Versus Amlodipine 10mg Monotherapy in Patients With Hypertension Who Fail to Respond Adequately to Treatment With Amlodipine 10mg Monotherapy",947,2007-11-01,NA,Boehringer Ingelheim
NCT00624338,Phase 2/Phase 3,3,Atacicept Phase 2/3 in Generalized Systemic Lupus Erythematosus (APRIL-SLE),"A Randomised, Double-blind, Placebo Controlled, Multicentre Prospective Dose-finding Phase II/III Study With Atacicept Given Subcutaneously to Subjects Having Recently Experienced a Flare of Systemic Lupus Erythematosus (SLE)",461,2008-01-01,2012-10-01,EMD Serono
NCT00628342,Phase 4,3,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Efficacy Study Comparing 4 Weeks of Treatment With Esomeprazole 20 mg qd and 40 mg qd to Placebo qd in Patients With Heartburn and Sleep Disturbances Associated With Gastroesophageal Reflux Disease (GERD)","A Multicenter, Randomized, Double-Blind, Placebo-Controlled Efficacy Study Comparing 4 Weeks of Treatment With Esomeprazole 20 mg qd and 40 mg qd to Placebo qd in Patients With Heartburn and Sleep Disturbances Associated With Gastroesophageal Reflux Disease (GERD)",600,2003-04-01,2003-08-01,AstraZeneca
NCT00641056,Phase 3,2,Efficacy of Exenatide Once Weekly and Once-Daily Insulin Glargine in Patients With Type 2 Diabetes Treated With Metformin Alone or in Combination With Sulfonylurea (DURATION - 3),Efficacy of Once-Weekly Exenatide Long-Acting Release and Once-Daily Insulin Glargine in Patients With Type 2 Diabetes Treated With Metformin Alone or in Combination With Sulfonylurea,467,2008-04-01,2009-11-01,AstraZeneca
NCT00641914,Phase 4,2,Inhaled Steroid Treatment as Regular Therapy in Early Asthma,Inhaled Steroid Treatment As Regular Therapy in Early Asthma. A Study on the Effect of Early Intervention With Long-Term Inhaled Budesonide (Pulmicort Turbuhaler ® ) in Newly Diagnosed Asthma.,6800,1996-10-01,2003-02-01,AstraZeneca
NCT00687973,Phase 4,2,Effect of the Fixed Dose Combination Amlodipine/Valsartan on Central Aortic Blood Pressure in Uncontrolled Essential Hypertension With Amlodipine 5 mg,Effect of the Fixed Dose Combination Amlodipine/Valsartan on Central Aortic Blood Pressure in Uncontrolled Essential Hypertension With Amlodipine 5 mg,393,2008-01-01,2009-01-01,Novartis
NCT00696241,Phase 3,5,Efficacy and Safety of Azilsartan Medoxomil in Participants With Essential Hypertension,"A Phase 3, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Efficacy and Safety of TAK-491 in Subjects With Essential Hypertension",1275,2007-06-01,2008-10-01,Takeda
NCT00754403,Phase 4,2,Efficacy of Pioglitazone and Fortamet Combination Therapy in Subjects With Type 2 Diabetes,"A Double-Blind, Randomized, Placebo-Controlled, Multicenter Study to Evaluate the Effects on Glycemic Control With Concomitantly Administered Pioglitazone HCl and Metformin HCl Extended Release (Fortamet®) in Subjects With Type 2 Diabetes",312,2005-07-01,2006-10-01,Takeda
NCT00783224,Phase 3,4,A Comparative Study of Mometasone Furoate Nasal Spray and Fluticasone Propionate Nasal Spray in Patients With Perennial Allergic Rhinitis (Study P04512),Comparative Study of Mometasone Furoate Nasal Spray and Fluticasone Propionate Nasal Spray in Patients With Perennial Allergic Rhinitis,351,2005-09-01,2005-12-01,Merck Sharp & Dohme Corp.
NCT00810199,Phase 3,2,A Study of Tocilizumab and Methotrexate Treatment Strategies (Adding Tocilizumab to Methotrexate Versus Switching to Tocilizumab) in Patients With Active Rheumatoid Arthritis With Inadequate Response to Prior Methotrexate Treatment,Randomized Placebo-controlled Study of Two Treatment Strategies Based on Tocilizumab (TCZ) With or Without Methotrexate (MTX) and Possible Addition of Other Disease-modifying Anti-rheumatic Drugs (DMARDs) in Patients...,556,2009-03-01,2013-01-01,Hoffmann-La Roche
NCT00831441,Phase 3,2,Phase III Acute Coronary Syndrome,"Apixaban for Prevention of Acute Ischemic Events - 2 A Phase 3, Randomized, Double-Blind, Evaluation of the Safety and Efficacy of Apixaban In Subjects With a Recent Acute Coronary Syndrome",7484,2009-03-01,2011-03-01,Bristol-Myers Squibb
NCT00859183,Phase 4,3,Oral Sirolimus for In-Stent Restenosis,"A Randomized, Double-Blind, Placebo-Controlled Trial Investigating the Impact of Oral Sirolimus on Restenosis Prevention in Patients With In-Stent Restenosis.",300,2001-10-01,2004-03-01,Deutsches Herzzentrum Muenchen
NCT00862420,Phase 3,2,Safety Evaluation of Clopidogrel Sulfate in Patients With Peripheral Arterial Disease,"A Randomized, Double Blind, Parallel Group Study to Investigate the Safety of 12 Weeks of Clopidogrel 75 mg/Day Versus Ticlopidine 200 mg/Day in Patients With Peripheral Arterial Disease - With Extended Treatment of Clopidogrel 75 mg/Day for 40 Weeks",431,2009-02-01,2011-05-01,Sanofi
NCT00917254,Phase 2/Phase 3,4,Prevention of Venous Thromboembolism in Patients Undergoing Elective Total Knee Replacement Surgery,"Phase II/III Study of YM150 - A Placebo-controlled, Double-blind, Group Comparison Study in Patients Undergoing Elective Total Knee Replacement Surgery -",369,2009-05-01,2010-01-01,Astellas Pharma Inc
NCT00931710,Phase 4,2,Valsartan/Amlodipine As Compared to Losartan Treatment in Stage 2 Systolic Hypertension,"A 12-week Multicenter, Randomized, Double-blind, Parallel-group, Active-control Study to Evaluate the Antihypertensive Efficacy and Safety of Valsartan/Amlodipine-based Regimen Versus a Losartan-based Regimen in Patients With Stage 2 Systolic Hypertension",488,2009-07-01,2010-01-01,Novartis
NCT00954447,Phase 3,2,Efficacy and Safety of Linagliptin in Combination With Insulin in Patients With Type 2 Diabetes,"A Phase III Randomised, Double-blind, Placebo-controlled, Parallel Group Efficacy and Safety Study of Linagliptin (5 mg), Administered Orally Once Daily for at Least 52 Weeks in Type 2 Diabetic Patients in Combination With Basal Insulin Therapy",1263,2009-08-01,NA,Boehringer Ingelheim
NCT00960661,Phase 3,2,"A Trial Comparing Two Therapies: Basal Insulin/Glargine, Exenatide and Metformin Therapy (BET) or Basal Insulin/Glargine, Bolus Insulin Lispro and Metformin Therapy (BBT) in Subjects With Type 2 Diabetes","A Randomized Trial Comparing Two Therapies: Basal Insulin/Glargine, Exenatide and Metformin Therapy (BET) or Basal Insulin/Glargine, Bolus Insulin Lispro and Metformin Therapy (BBT) in Subjects With Type 2 Diabetes Who Were Previously Treated by Basal Insulin Glargine With Either Metformin or Metformin and Sulfonylurea",1036,2009-09-01,2012-08-01,AstraZeneca
NCT01045161,Phase 3,3,"Efficacy, Safety, and Tolerability of Aclidinium Bromide in the Treatment of Moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD) (LAS-MD-38)","A Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Efficacy, Safety, and Tolerability of 2 Doses of Aclidinium Bromide Compared With Placebo for 12 Weeks in Patients With Moderate to Severe, Stable Chronic Obstructive Pulmonary Disease Followed by a 40-Week Evaluation of the Higher Aclidinium Bromide Dose",544,2009-03-01,2011-06-01,AstraZeneca
NCT01068600,Phase 3,2,Comparison of Efficacy of Indacaterol Versus Placebo Over 12 Weeks,"A 12-week Treatment, Multi-center, Randomized, Double-blind, Placebo-controlled, Parallel-group Study to Assess the Efficacy and Safety of Once Daily Indacaterol in Patients With Chronic Obstructive Pulmonary Disease",318,2010-01-01,NA,Novartis
NCT01068678,Phase 3,2,Comparison of NN1250 With Insulin Glargine in Subjects With Type 2 Diabetes,A Trial Comparing Efficacy and Safety of NN1250 and Insulin Glargine in Subjects With Type 2 Diabetes (BEGIN™: EASY AM),460,2010-02-01,2010-11-01,Novo Nordisk A/S
NCT01087723,Phase 3,2,European Ambulance Acute Coronary Syndrome (ACS) Angiography Trial,"Multi-centre, Multi-national, Prospective, Randomised, Open-label, Comparison of Bivalirudin to Other Guideline Based Current Therapies (Excluding Bivalirudin)",2198,2010-03-01,2014-08-01,The Medicines Company
NCT01106014,Phase 3,2,Selexipag (ACT-293987) in Pulmonary Arterial Hypertension,"A Multicenter, Double-blind, Placebo-controlled Phase 3 Study Assessing the Safety and Efficacy of Selexipag on Morbidity and Mortality in Patients With Pulmonary Arterial Hypertension",1156,2009-12-01,2014-10-01,Actelion
NCT01106651,Phase 3,3,A Safety and Efficacy Study of Canagliflozin in Older Patients (55 to 80 Years of Age) With Type 2 Diabetes Mellitus,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Canagliflozin Compared With Placebo in the Treatment of Older Subjects With Type 2 Diabetes Mellitus Inadequately Controlled on Glucose Lowering Therapy",716,2010-06-01,2013-05-01,"Janssen Research & Development, LLC"
NCT01114880,Phase 3,2,Efficacy and Safety of Adalimumab in Adult Chinese Subjects With Active Ankylosing Spondylitis,"A Phase 3, Randomized, Double-Blind, Placebo Controlled, Multicenter, Efficacy and Safety Study of Adalimumab in Adult Chinese Subjects With Active Ankylosing Spondylitis",344,2010-01-01,2011-02-01,Abbott
NCT01118312,Phase 4,2,Study of Asthma and Nasal Steroids,Study of Asthma and Nasal Steroids for the American Lung Association-Airways Clinical Research Centers,388,2010-09-01,2015-06-01,JHSPH Center for Clinical Trials
NCT01130246,Phase 3,2,VISTA-16 Trial: Evaluation of Safety and Efficacy of Short-term A-002 Treatment in Subjects With Acute Coronary Syndrome,VISTA-16 Trial: Evaluation of the Safety and Efficacy of Short-Term A-002 Treatment in Subjects With Acute Coronary Syndromes,5189,2010-05-01,2012-03-01,Anthera Pharmaceuticals
NCT01209702,Phase 3,5,A Study of RoActemra/Actemra (Tocilizumab) in Patients With Ankylosing Spondylitis Who Have Failed Treatment With NSAIDs,"A Ph II/III Seamless, Multi-center, Randomized, Double-blind, Placebo-controlled Study of the Reduction in Signs and Symptoms and Inhibition of Structural Damage During Treatment With Tocilizumab Versus Placebo in Patients With Ankylosing Spondylitis Who Have Failed Non-steroidal Anti-inflammatory Drugs and Are naïve to TNF Antagonist Therapy NSAIDs",306,2010-09-01,2011-12-01,Hoffmann-La Roche
NCT01212770,Phase 3,4,PALACE 3: Efficacy and Safety Study of Apremilast to Treat Active Psoriatic Arthritis,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group, Efficacy and Safety Study of Two Doses of Apremilast (CC-10004) in Subjects With Active Psoriatic Arthritis and a Qualifying Psoriasis Lesion",505,2010-09-30,2017-02-09,Celgene
NCT01296412,Phase 3,2,Comparison of Two Treatment Regimens (Sitagliptin Versus Liraglutide) on Participants Who Failed to Achieve Good Glucose Control on Metformin Alone (MK-0431-403),"A Phase III, Multicenter, Randomized, Open-label Clinical Trial Comparing the Efficacy and Safety of a Sitagliptin-Based Treatment Paradigm to a Liraglutide-Based Treatment Paradigm in Patients With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Metformin Monotherapy",653,2011-03-11,2012-02-29,Merck Sharp & Dohme Corp.
NCT01306214,Phase 3,3,Safety and Efficacy of BI 10773 as add-on to Insulin Regimen in Patients With Type 2 Diabetes Mellitus,"A Phase III, Randomized, Double-blind, Placebo-controlled, Parallel Group Safety and Efficacy Study of BI 10773 (10 mg and 25 mg Administered Orally Once Daily) During 52 Weeks in Patients With Type 2 Diabetes Mellitus and Insufficient Glycemic Control on MDI Insulin Regimen Alone or With Metformin",566,2011-02-01,2013-04-01,Boehringer Ingelheim
NCT01318070,Phase 2/Phase 3,3,Efficacy and Safety of Alogliptin Used Combination With Thiazolidine in Participants With Type 2 Diabetes in Japan,"A Phase 2/3, Double-Blind, Randomized, Placebo-Controlled, Parallel-Group, Multicenter Study to Determine the Efficacy and Safety of SYR-322 When Used in Combination With Thiazolidine in Subjects With Type 2 Diabetes in Japan",339,2007-11-01,2008-10-01,Takeda
NCT01345916,Phase 3,3,Efficacy of CHF1535 Via NEXT DPI Versus pMDI and BDP DPI100µg on PeakExpiratoryFlow in Asthmatic Patients,"A Phase 3,8-week Clinical Trial to Test the Efficacy of CHF1535 Via NEXT DPI® Versus Same Dose of CHF1535 pMDI and Beclomethasone DPI 100µg on PEF in Adult Asthmatic Patients After 1 Month of Treatment With FOSTER®",932,2011-03-01,2011-08-01,Chiesi Farmaceutici S.p.A.
NCT01376245,Phase 3,2,A 24-week Study of Fluticasone Furoate/Vilanterol Inhalation Powder in Subjects of Asian Ancestry With COPD,A 24-week Study to Evaluate the Efficacy and Safety of Fluticasone Furoate/Vilanterol Inhalation Powder Delivered Once Daily Via a Dry Powder Inhaler Compared With Placebo in Subjects of Asian Ancestry With Chronic Obstructive Pulmonary Disease,646,2011-04-01,2012-09-01,GlaxoSmithKline
